,location,total_sqft,bath,price,bhk
0, Devarachikkanahalli,1250.0,2.0,44.0,3
1, Devarachikkanahalli,1250.0,2.0,40.0,2
2, Devarachikkanahalli,1200.0,2.0,83.0,2
3, Devarachikkanahalli,1170.0,2.0,40.0,2
4, Devarachikkanahalli,1425.0,2.0,65.0,3
5, Devarachikkanahalli,947.0,2.0,43.0,2
6, Devarachikkanahalli,1130.0,2.0,36.0,2
7, Devarachikkanahalli,1417.0,2.0,76.0,3
8, Devarachikkanahalli,1230.0,2.0,58.0,2
9, Devarachikkanahalli,1705.0,3.0,75.0,3
10, Devarachikkanahalli,1116.0,2.0,47.0,2
11, Devarachikkanahalli,991.0,2.0,40.0,2
12, Devarachikkanahalli,1700.0,3.0,71.0,3
